epoch	loss
0	2.773918
1	0.724964
2	0.434526
3	0.316381
4	0.313401
5	0.278024
6	0.223540
7	0.158314
8	0.145634
9	0.104297
10	0.089748
11	0.120461
12	0.099216
13	0.084086
14	0.094981
15	0.078806
16	0.068427
17	0.064446
18	0.062677
19	0.057776
20	0.055684
21	0.053340
22	0.053746
23	0.053018
24	0.050281
25	0.050358
26	0.049081
27	0.048904
28	0.047907
29	0.047394
30	0.047033
31	0.046575
32	0.045719
33	0.044736
34	0.044245
35	0.041319
36	0.039919
37	0.039292
38	0.039068
39	0.038651
40	0.038681
41	0.038576
42	0.038139
43	0.038282
44	0.037778
45	0.038095
46	0.037546
47	0.037448
48	0.037567
49	0.037591
50	0.037220
51	0.037013
52	0.036570
53	0.036570
54	0.036254
epoch	loss
0	2.686419
1	0.846201
2	0.675308
3	0.587118
4	0.552136
5	0.389093
6	0.309263
7	0.268201
8	0.202356
9	0.135611
10	0.108299
11	0.088243
12	0.142245
13	0.101303
14	0.074180
15	0.107743
16	0.103496
17	0.079544
18	0.061415
19	0.054727
20	0.051976
21	0.049201
22	0.048252
23	0.047256
24	0.045738
25	0.044347
26	0.043748
27	0.043796
28	0.043610
29	0.043657
30	0.043714
31	0.043069
32	0.043053
33	0.042456
34	0.042085
35	0.041888
36	0.041793
37	0.041793
38	0.041180
39	0.041185
40	0.040773
41	0.040390
42	0.040405
43	0.040214
44	0.040383
45	0.040435
46	0.039910
47	0.039437
48	0.039609
49	0.039642
50	0.039228
51	0.038621
52	0.038987
53	0.038413
54	0.038919
55	0.038302
56	0.038562
57	0.038038
58	0.038013
59	0.037771
60	0.037961
epoch	loss
0	2.851579
1	0.859311
2	0.436221
3	0.366885
4	0.267160
5	0.151482
6	0.180822
7	0.119048
8	0.129895
9	0.080476
10	0.060385
11	0.117238
12	0.107037
13	0.086099
14	0.079083
15	0.076437
16	0.071882
17	0.066116
18	0.063158
19	0.060341
20	0.059208
21	0.056577
22	0.054514
23	0.052537
24	0.048672
25	0.046318
26	0.044242
27	0.043040
28	0.041272
29	0.040498
30	0.039845
31	0.039094
32	0.038604
33	0.038429
34	0.038085
35	0.037986
36	0.037463
37	0.037311
38	0.037158
39	0.037095
40	0.036781
41	0.036931
42	0.036517
43	0.036306
44	0.036172
45	0.035737
46	0.035726
47	0.035713
48	0.035414
49	0.035208
50	0.034785
